name,wikipedia
Lady,"The word lady is a term for a girl or woman, with various connotations."
Laertes,"In Greek mythology, Laertes (; Ancient Greek: Λαέρτης, romanized: Laértēs Greek pronunciation: [laː.ér.tɛːs]; also spelled Laërtes) was the king of the Cephallenians, an ethnic group who lived both on the Ionian islands and on the mainland, which he presumably inherited from his father Arcesius and grandfather Cephalus."
Lagenaria,Lagenaria is a genus of gourd-bearing vines in the squash family (Cucurbitaceae).
Lagerstroemia,"Lagerstroemia (), commonly known as crape myrtle (also spelled crepe myrtle or crêpe myrtle), is a genus of around 50 species of deciduous and evergreen trees and shrubs native to the Indian subcontinent, southeast Asia, northern Australia, and other parts of Oceania, cultivated in warmer climates around the world."
Lagidium,Lagidium is a genus of rodents in the family Chinchillidae.
Lagodon,"Lagodon is a genus of saltwater fish in the family Sparidae, the breams and porgies."
Lagomorpha,"The lagomorphs () are the members of the taxonomic order Lagomorpha, of which there are two living families: the Leporidae (rabbits and hares) and the Ochotonidae (pikas)."
Lagopus,Lagopus is a small genus of birds in the grouse subfamily commonly known as ptarmigans ().
Lagorchestes,"Lagorchestes is a genus of small, rabbit-like mammals commonly known as hare-wallabies."
Lagos,"Lagos  ( LAY-goss; also US:  LAH-gohss; Yoruba: Èkó) or Lagos City is the most populous city in Nigeria, with an estimated population of 21 million in 2015."
Lagostomus,Lagostomus is a South American genus of rodents in the family Chinchillidae.
Laguncularia,Laguncularia is a genus of plants in the family Combretaceae.
Lahore,Lahore ( lə-HOR; Punjabi: لاہور [ˈlaːɾə̆]; Urdu: لاہور [laːˈɦɔːɾ] ) is the capital and largest city of the Pakistani province of Punjab.
Laius,"In Greek mythology, King Laius ( L(A)Y-əs) or Laios (Ancient Greek: Λάϊος, romanized: Láïos) of Thebes was a key personage in the Theban founding myth."
Lakshmi,"Lakshmi (; Sanskrit: लक्ष्मी, IAST: Lakṣmī, sometimes spelled Laxmi, lit. 'she who leads to one's goal') also known as Shri (Sanskrit: श्री, IAST: Śrī, lit. 'Noble'), is one of the principal goddesses in Hinduism."
Lallans,"Lallans (; a variant of the Modern Scots word lawlands [ˈlo̜ːlən(d)z, ˈlɑːlənz] meaning the lowlands of Scotland), is a term that was traditionally used to refer to the Scots language as a whole."
Lama,"Lama (Tibetan: བླ་མ་, Wylie: bla-ma; ""boss"") is a title for a teacher of the Dharma in Tibetan Buddhism."
Lamarckism,"Lamarckism, also known as Lamarckian inheritance or neo-Lamarckism, is the notion that an organism can pass on to its offspring physical characteristics that the parent organism acquired through use or disuse during its lifetime."
Lambertia,"Lambertia is a genus of flowering plants, belonging to the family Proteaceae."
Lambis,"Lambis is a genus of large sea snails sometimes known as spider conchs, marine gastropod mollusks in the family Strombidae, the true conch family."
Lamiaceae,"The Lamiaceae ( LAY-mee-AY-see-ee, -⁠eye)
or Labiatae are a family of flowering plants commonly known as the mint, deadnettle or sage family."
Laminaria,"Laminaria is a genus of brown seaweed in the order Laminariales (kelp), comprising 31 species native to the north Atlantic and northern Pacific Oceans."
Laminariaceae,"Laminariaceae is a family of brown algal seaweeds, many genera of which are popularly called ""kelp""."
Lamium,"Lamium (dead-nettles) is a genus of about 30 species of flowering plants in the family Lamiaceae, of which it is the type genus."
Lammas,"Lammas (from Old English hlāfmæsse, ""loaf-mass""), also known as Loaf Mass Day, is a Christian holiday celebrated in some English-speaking countries in the Northern Hemisphere on 1 August."
Lamna,"Lamna is a genus of mackerel sharks in the family Lamnidae, containing two extant species: the porbeagle (L. nasus) of the North Atlantic and Southern Hemisphere, and the salmon shark (L. ditropis) of the North Pacific."
Lamnidae,The Lamnidae are the family of mackerel sharks known as white sharks.
Lanai,"Lanai (Hawaiian: Lānaʻi, Hawaiian: [laːˈnɐʔi, naːˈnɐʔi], , also US: ,) is the sixth-largest of the Hawaiian Islands and the smallest publicly accessible inhabited island in the chain."
Lancashire,"Lancashire ( LAN-kə-shər,  -⁠sheer; abbreviated Lancs) is a ceremonial county in North West England."
Lancelot,"Lancelot du Lac (French for Lancelot of the Lake), also written as Launcelot and other variants, is a character in some versions of Arthurian legend where he is typically depicted as King Arthur's close companion and one of the greatest Knights of the Round Table."
Land,"Land, also known as dry land, ground, or earth, is the solid terrestrial surface of Earth not submerged by the ocean or another body of water."
Landau,"Landau (Palatine German: Landach), officially Landau in der Pfalz (German pronunciation: [ˈlandaʊ ɪn deːɐ ˈpfalts]), is an autonomous (kreisfrei) town surrounded by the Südliche Weinstraße (""Southern Wine Route"") district of southern Rhineland-Palatinate, Germany."
Landsteiner,Landsteiner is a surname.
Langside,Langside is a district in the Scottish city of Glasgow.
Lanius,"Lanius, the typical shrikes, are a genus of passerine birds in the shrike family Laniidae."
Lanzhou,"Lanzhou (UK: , US: ; simplified Chinese: 兰州; traditional Chinese: 蘭州; pinyin: Lánzhōu) is the capital and largest city of the Chinese province of Gansu, located in the northwest of the country."
Laos,"Laos ( ), officially the Lao People's Democratic Republic (Lao PDR or LPDR), is the only landlocked country in Southeast Asia."
Laportea,Laportea is a genus of plants in the family Urticaceae.
Lappula,Lappula is a genus of flowering plants in the borage family known generally as stickseeds.
Laputa,Laputa  is a flying island described in the 1726 book Gulliver's Travels by Jonathan Swift.
Lardizabala,Lardizabala is a monotypic genus of flowering plants.
Lardizabalaceae,Lardizabalaceae is a family of flowering plants.
Lardner,Lardner is a surname.
Laridae,"Laridae is a family of seabirds in the order Charadriiformes that includes the gulls, terns, noddies, skimmers, and kittiwakes."
Larrea,"Larrea is a genus of flowering plants in the caltrop family, Zygophyllaceae."
Larus,Larus is a large genus of gulls with worldwide distribution (by far the greatest species diversity is in the Northern Hemisphere).
Lascar,"A lascar was a sailor or militiaman from the Indian subcontinent, Southeast Asia, the Arab world, British Somaliland or other lands east of the Cape of Good Hope who was employed on European ships from the 16th century until the mid-20th century."
Lascaux,"Lascaux (English:  la-SKOH, US also  lah-SKOH; French: Grotte de Lascaux [ɡʁɔt də lasko], ""Lascaux Cave"") is a network of caves near the village of Montignac, in the department of Dordogne in southwestern France."
Lasiocampa,Lasiocampa is a genus of moths in the family Lasiocampidae.
Lasiocampidae,"The Lasiocampidae are a family of moths also known as eggars, tent caterpillars, snout moths (although this also refers to the Pyralidae), or lappet moths."
Lasiurus,Lasiurus is a genus of bats in the family Vespertilionidae.
Lasso,"A lasso or lazo or [lasoo]( or ), also called in Mexico reata and la reata, and in the United States riata, or lariat (from Mexican Spanish, lasso for roping cattle), is a loop of rope designed as a restraint to be thrown around a target and tightened when pulled."
Lastex,"Lastex is a type of elastic yarn that was introduced in the 1930s and was primarily used for swimwear, brassieres, girdles and corselettes."
Lasthenia,"Lasthenia, commonly known as goldfields, is a genus of flowering plants family Asteraceae."
Lastreopsis,"Lastreopsis, known as shieldfern, is a genus of ferns in the family Dryopteridaceae, subfamily Elaphoglossoideae, in the Pteridophyte Phylogeny Group classification of 2016 (PPG I)."
Latakia,"Latakia (Arabic: ٱللَّاذْقِيَّة, romanized: al-Lādhiqiyya;  Syrian pronunciation: [el.laːdˈʔɪjje, -laːðˈqɪjja]) is the principal port city of Syria and capital city of the Latakia Governorate located on the Mediterranean coast."
Lateran,Lateran and Laterano are the shared names of several buildings in Rome.
Lates,Lates is a genus of freshwater and euryhaline lates perches belonging to the family Latidae.
Lathyrus,"Lathyrus  is a genus of flowering plants
in the legume family Fabaceae, and contains approximately 160 species."
Latimeria,Latimeria is a rare genus of fish which contains the only living species of coelacanth.
Latin,"Latin (lingua Latina, Latin: [ˈlɪŋɡʷa ɫaˈtiːna], or Latinum, Latin: [ɫaˈtiːnʊ̃]) is a classical language belonging to the Italic branch of the Indo-European languages."
Latinism,"A Latinism (from Medieval Latin: Latinismus) is a word, idiom, or structure in a language other than Latin that is derived from, or suggestive of, the Latin language."
Latium,"Latium ( LAY-shee-əm, US also  -⁠shəm, Latin: [ˈɫati.ũː]) is the region of central western Italy in which the city of Rome was founded and grew to be the capital city of the Roman Empire."
Latrodectus,Latrodectus is a broadly distributed genus of spiders with several species that are commonly known as the true widows.
Latvia,"Latvia (  LAT-vee-ə, sometimes  LAHT-vee-ə; Latvian: Latvija Latvian pronunciation: [ˈlatvija]; Latgalian: Latveja; Livonian: Lețmō), officially the Republic of Latvia (Latvian: Latvijas Republika, Latgalian: Latvejas Republika, Livonian: Lețmō Vabāmō), is a country in the Baltic region of Northern Europe."
Lauder,"The former Royal Burgh of Lauder (, Scottish Gaelic: Labhdar) is a town in the Scottish Borders in the historic county of Berwickshire."
Lauraceae,"Lauraceae, or the laurels, is a plant family that includes the true laurel and its closest relatives."
Laurasia,"Laurasia () was the more northern of two large landmasses that formed part of the Pangaea supercontinent from around 335 to 175 million years ago (Mya), the other being Gondwana."
Laurentius,"Laurentius is a Latin given name and surname  that means ""From Laurentum"" (a city near Rome)."
Laurus,"Laurus () is a genus of evergreen trees or shrubs belonging to the laurel family, Lauraceae."
Lausanne,"Lausanne ( loh-ZAN, US also  loh-ZAHN, French: [lɔzan] ; Arpitan: Losena [lɔˈzəna] ) is the capital and largest city of the Swiss French-speaking canton of Vaud."
Lavandula,"Lavandula (common name lavender) is a genus of 47 known species of flowering plants in the mint family, Lamiaceae."
Layia,"Layia is a genus of flowering plants in the family Asteraceae known generally as tidy tips, native to western North America."
Lazio,"Lazio (UK:  LAT-see-oh, US:  LAHT-, Italian: [ˈlattsjo]) or Latium ( LAY-shee-əm, US also  -⁠shəm; from the original Latin name, pronounced [ˈɫati.ũː]) is one of the 20 administrative regions of Italy."
Lebanon,"Lebanon (  LEB-ə-non, -⁠nən; Arabic: لُبْنَان Lubnān pronounced [lɪbˈneːn]), officially the Republic of Lebanon, is a country in West Asia."
Lecanoraceae,The Lecanoraceae are a family of lichenized fungi in the order Lecanorales.
Leccinum,Leccinum is a genus of fungi in the family Boletaceae.
Lecythidaceae,"The Lecythidaceae ( LESS-ith-ih-DAY-shee) comprise a family of about 20 genera and 250–300 species of woody plants native to tropical South America, Africa (including Madagascar), Asia and Australia."
Leeds,"Leeds is a city in West Yorkshire, England."
Lego,"Lego ( LEG-oh, Danish: [ˈle̝ːko]; stylized as LEGO) is a line of plastic construction toys manufactured by the Lego Group, a privately held company based in Billund, Denmark."
Leibnitz,Leibnitz (German: [ˈlaɪ̯bnit͡s]; Slovenian: Lipnica) is a city in the Austrian state of Styria and on 1 Jan.
Leicester,"Leicester (  LES-tər) is a city, unitary authority area, unparished area and the county town of Leicestershire in the East Midlands of England."
Leicestershire,"Leicestershire (  LEST-ər-sheer, -⁠shər) is a ceremonial county in the East Midlands of England."
Leiden,"Leiden (Dutch pronunciation: [ˈlɛidə(n)] ; in English and archaic Dutch also Leyden) is a city and municipality in the province of South Holland, Netherlands."
Leiopelma,"Leiopelma is a genus of New Zealand primitive frogs, belonging to the suborder Archaeobatrachia."
Leipzig,"Leipzig ( LYPE-sig, -⁠sikh, German: [ˈlaɪptsɪç] ; Upper Saxon: Leibz'sch), with a population of 628,718 inhabitants as of 2023, is the most populous city in the German state of Saxony, the second-most populous city in the area of the former East Germany after (East) Berlin, and Germany's eighth-most populous."
Leishmania,"Leishmania  is a parasitic protozoan, a single-celled organism of the genus Leishmania that is responsible for the disease leishmaniasis."
Leitneria,"Leitneria floridana (corkwood), the sole species in the genus Leitneria, is a deciduous dioecious shrub or small tree, found only in the southern United States states of Arkansas, Florida, Georgia, Missouri and Texas."
Lemna,"Lemna is a genus of free-floating aquatic plants referred to by the common name ""duckweed""."
Lemnos,Lemnos or Limnos (Greek: Λήμνος; Ancient Greek: Λῆμνος) is a Greek island in the northern Aegean Sea.
Lemuridae,Lemuridae is a family of strepsirrhine primates native to Madagascar and the Comoros.
Lenard,Lenard is a surname.
Leninism,Leninism is a political ideology developed by Russian Marxist revolutionary Vladimir Lenin that proposes the establishment of the dictatorship of the proletariat led by a revolutionary vanguard party as the political prelude to the establishment of communism.
Lens,A lens is a transmissive optical device that focuses or disperses a light beam by means of refraction.
Lent,"Lent (Latin: Quadragesima, 'Fortieth') is the solemn Christian religious observance in the liturgical year commemorating the 40 days Jesus Christ spent fasting in the desert and enduring temptation by Satan, according to the Gospels of Matthew, Mark and Luke, before beginning his public ministry."
Lentibulariaceae,"Lentibulariaceae is a family of carnivorous plants containing three genera: Genlisea, the corkscrew plants; Pinguicula, the butterworts; and Utricularia, the bladderworts."
Lentinus,Lentinus is a genus of fungi in the family Polyporaceae.
Leonard,Leonard or Leo is a common English masculine given name and a surname.
Leonberg,"Leonberg (German pronunciation: [ˈleːɔnˌbɛrk] ; Swabian: Leaberg) is a town in the German federal state of Baden-Württemberg about 16 km (10 mi) to the west of  Stuttgart, the state capital."
Leonotis,Leonotis is a genus of flowering plants in the family Lamiaceae.
Leontodon,"Leontodon is a genus of plants in the tribe Cichorieae within the family Asteraceae, commonly known as hawkbits."
Leontopodium,Leontopodium is a genus of plants in the family Asteraceae.
Leonurus,Leonurus (motherwort) is a genus of flowering plants in the family Lamiaceae.
Lepadidae,"Lepadidae is a family of goose barnacles, erected by Charles Darwin in 1852."
Lepas,Lepas is a genus of goose barnacles in the family Lepadidae.
Lepechinia,"Lepechinia is a genus of plants in the mint family, Lamiaceae."
Lepidium,"Lepidium is a genus of plants in the mustard/cabbage family, Brassicaceae."
Lepidobotryaceae,Lepidobotryaceae is a family of plants in the order Celastrales.
Lepidodendrales,"Lepidodendrales (from the Greek for ""scale tree"") or arborescent lycophytes are an extinct order of primitive, vascular, heterosporous, arborescent (tree-like) plants belonging to Lycopodiopsida."
Lepidoptera,Lepidoptera ( LEP-ih-DOP-tər-ə) or lepidopterans is an order of winged insects that includes butterflies and moths.
Lepidosauria,"The Lepidosauria (, from Greek meaning scaled lizards) is a subclass or superorder of reptiles, containing the orders Squamata and Rhynchocephalia."
Lepidothamnus,Lepidothamnus is a genus of conifers belonging to the podocarp family Podocarpaceae.
Lepisma,"Lepisma is a genus of primitive insects in the order Zygentoma and the family Lepismatidae.The most familiar member of the genus Lepisma is the silverfish (L. saccharinum), a cosmopolitan species that likes damp habitats, tends to hide in crevices and is usually found in human habitations, becoming household pests under certain conditions."
Lepismatidae,Lepismatidae is a family of primitive wingless insects with about 190 described species.
Lepisosteus,Lepisosteus is a genus of gars in the family Lepisosteidae.
Lepomis,Lepomis or true sunfish is a genus of North American freshwater fish from the family Centrarchidae in the order Perciformes (perch-like fish).
Leporidae,"Leporidae () is the family of rabbits and hares, containing over 70 species of extant mammals in all."
Leptarrhena,"Leptarrhena is a genus of flowering plants belonging to the family Saxifragaceae.Its native range is Subarctic America to Northwestern USA.Species:
Leptarrhena pyrolifolia (D.Don) Ser."
Leptinotarsa,Leptinotarsa is a genus of leaf beetles.
Leptodactylidae,"The southern frogs form the Leptodactylidae, a name that comes from Greek meaning a bird or other animal having slender toes."
Leptodactylus,Leptodactylus is a genus of leptodactylid frogs.
Leptoglossus,Leptoglossus is a genus of true bugs in the leaf-footed bug family and the tribe Anisoscelini.
Leptopteris,"The Leptopteris is a small genus of ferns native to the New Guinea, Australia, New Zealand, and the Pacific Islands."
Leptotyphlopidae,"The Leptotyphlopidae (commonly called slender blind snakes or thread snakes) are a family of snakes found in North America, South America, Africa and Asia."
Leptotyphlops,"Leptotyphlops is a genus of nonvenomous blind snakes, commonly known as slender blind snakes and threadsnakes, in the family Leptotyphlopidae."
Lesbian,A lesbian is a homosexual woman or girl.
Lesbos,"Lesbos or Lesvos (Greek: Λέσβος, romanized: Lésvos [ˈlezvos]) is a Greek island located in the northeastern Aegean Sea."
Lesotho,"Lesotho (  lih-SOO-too, Sotho pronunciation: [lɪˈsʊːtʰʊ]), formally the Kingdom of Lesotho, is a landlocked country in Southern Africa."
Lesquerella,Lesquerella is the former name of a genus of flowering plants in the family Brassicaceae.
Lessing,Lessing is a German surname of Slavic origin.
Lethe,"In Greek mythology, Lethe (; Ancient Greek: Λήθη Lḗthē; Ancient Greek: [lɛ̌ːtʰɛː], Modern Greek: [ˈliθi]), also referred to as Lesmosyne, was one of the rivers of the underworld of Hades."
Leto,"In ancient Greek mythology and religion, Leto (; Ancient Greek: Λητώ, romanized: Lētṓ pronounced [lɛːtɔ̌ː]) is a goddess and the mother of Apollo and Artemis."
Leucadendron,"Leucadendron is a genus of about 80 species of flowering plants in the family Proteaceae, endemic to the Cape Provinces and KwaZulu-Natal in South Africa, where they are a prominent part of the fynbos ecoregion and vegetation type."
Leucaena,Leucaena is a genus of flowering plants in the mimosoid clade of the subfamily Caesalpinioideae of the family Fabaceae.
Leucanthemum,"Leucanthemum is a genus of flowering plants in the aster family, Asteraceae."
Leuciscus,Leuciscus is a genus of fish belonging to the family Cyprinidae.
Leucogenes,"Leucogenes is a genus of plants in the family Asteraceae, native to New Zealand."
Leuctra,"Leuctra or Leuktra (Ancient Greek: τὰ Λεῦκτρα, romanized: tà Leûktra, Attic Greek pronunciation: [tà lêu̯k.tra] or τὸ Λεῦκτρον, tò Leûktron [tò lêu̯k.tron]) was a village of ancient Boeotia, situated on the road from Thespiae to Plataea, and in the territory of the former city."
Levant,The Levant ( lə-VANT) is an approximate historical geographical term referring to a large area in the Eastern Mediterranean region of West Asia.
Levi,"Levi ( LEE-vy; Hebrew: לֵוִי, Modern: Levī, Tiberian: Lēwī) was, according to the Book of Genesis, the third of the six sons of Jacob and Leah (Jacob's third son), and the founder of the Israelite Tribe of Levi (the Levites, including the Kohanim) and the great-grandfather of Aaron, Moses and Miriam."
Levite,"Levites ( LEE-vyte; Hebrew: לְוִיִּם, romanized: Lǝvīyyīm) or Levi are Jewish males who claim patrilineal descent from the Tribe of Levi."
Lewisia,"Lewisia is a plant genus, named for the American explorer Meriwether Lewis (1774-1809) who encountered the species in 1806."
Leycesteria,"Leycesteria is a genus of flowering plants in the honeysuckle family Caprifoliaceae, native to temperate Asia in the Himalaya and southwestern China."
Leymus,Leymus is a genus of plants in the grass family Poaceae (Gramineae).
Leyte,"Leyte ( LAY-tee, LAY-tay) is an island in the Visayas group of islands in the Philippines."
Lhasa,"Lhasa (; Standard Tibetan: ལྷ་ས [l̥ɛː˥˥.sa˥˥], lit. 'Place of Gods') is the urban center of the prefecture-level Lhasa City and the administrative capital of Tibet Autonomous Region in southwest China."
Lhotse,"Lhotse (Nepali: ल्होत्से L'hōtsē Nepali pronunciation: [lot.se]; Tibetan: ལྷོ་རྩེ Tibetan pronunciation: [l̥otse], lho tse, Chinese: 洛子峰) is the fourth highest mountain in the world at 8,516 metres (27,940 ft), after Mount Everest, K2, and Kangchenjunga."
Liatris,"Liatris (), commonly known as gayfeather and blazing star is a genus of flowering plants in the tribe Eupatorieae within the family Asteraceae native to North America (Canada, United States, Mexico and the Bahamas)."
Libby,"Libby as a feminine given name is typically a diminutive form of Elizabeth, which is less commonly spelled 'Libbie' or 'Libi'."
Liberia,"Liberia ( ), officially the Republic of Liberia, is a country on the West African coast."
Libocedrus,"Libocedrus is a genus of five species of coniferous trees in the cypress family Cupressaceae, native to New Zealand and New Caledonia."
Libreville,Libreville is the capital and largest city of Gabon.
Libya,"Libya (  LIB-ee-ə; Arabic: ليبيا, romanized: Lībiyā, pronounced [liː.bi.jæː]), officially the State of Libya (Arabic: دولة ليبيا, romanized: Dawlat Lībiyā), is a country in the Maghreb region of North Africa."
Lichanura,"Lichanura, the rosy boas, are a genus of snakes in the family Boidae."
Lidocaine,"Lidocaine, also known as lignocaine and sold under the brand name Xylocaine among others, is a local anesthetic of the amino amide type."
Lie,"A lie is an assertion that is believed to be false, typically used with the purpose of deceiving  or misleading someone."
Liechtenstein,"Liechtenstein ( LIK-tən-styne; German: [ˈlɪçtn̩ʃtaɪn] ), officially the Principality of Liechtenstein (German: Fürstentum Liechtenstein, pronounced [ˈfʏʁstn̩tuːm ˈlɪçtn̩ˌʃtaɪ̯n] ), is a doubly landlocked German-speaking microstate located in the Alps between Austria and Switzerland."
Light,Light or visible light is electromagnetic radiation that can be perceived by the human eye.
Ligularia,Ligularia (leopard plant) is a genus of Old World herbaceous perennial plants in the groundsel tribe within the sunflower family.
Liguria,Liguria (; Italian: [liˈɡuːrja]; Ligurian: Ligûria Ligurian pronunciation: [liˈɡyːɾja]) is a region of north-western Italy; its capital is Genoa.
Liliaceae,"The lily family, Liliaceae, consists of about 15 genera and 610 species of flowering plants within the order Liliales."
Liliales,"Liliales is an order of monocotyledonous flowering plants in the Angiosperm Phylogeny Group and Angiosperm Phylogeny Web system, within the lilioid monocots."
Liliidae,Liliidae is a botanical name at the rank of subclass.
Liliopsida,Liliopsida Batsch (synonym: Liliatae) is a botanical name for the class containing the family Liliaceae (or Lily Family).
Lilith,"Lilith (; Hebrew: לִילִית, romanized: Liliṯ), also spelt Lilit, Lilitu, or Lilis, is a female figure in Mesopotamian and Jewish mythology, theorized to be the first wife of Adam and supposedly the primordial she-demon."
Lilium,"Lilium ( LIL-ee-əm) is a genus of herbaceous flowering plants growing from bulbs, all with large prominent flowers."
Lille,"Lille ( LEEL, French: [lil] ; Dutch: Rijsel [ˈrɛisəl]; Picard: Lile; West Flemish: Rysel) is a city in the northern part of France, in French Flanders."
Lilongwe,"Lilongwe (UK: , US: , Chichewa: [ɽiˈɽoᵑɡʷe]) is the capital and most populated city of the African country of Malawi."
Lima,Lima ( LEE-mə; Spanish pronunciation: [ˈlima]) is the capital and largest city of Peru.
Limacidae,"Limacidae, also known by their common name the keelback slugs, are a taxonomic family of medium-sized to very large, air-breathing land slugs, terrestrial pulmonate gastropod molluscs in the superfamily Limacoidea."
Limanda,Limanda is a genus of righteye flounders native to the northern Atlantic and Pacific oceans.
Limax,Limax  is a genus of air-breathing land slugs in the terrestrial pulmonate gastropod mollusk family Limacidae.
Limburger,"Limburger (in southern Dutch contexts Rommedoe, and in Belgium Herve cheese) is a cheese that originated in the Herve area of the historical Duchy of Limburg, which had its capital in Limbourg-sur-Vesdre, now in the French-speaking Belgian province of Liège."
Limeira,Limeira is a city in the eastern part of the Brazilian state of São Paulo.
Limenitis,"Limenitis is a genus of brush-footed butterflies, commonly called the admirals."
Limerick,"Limerick ( LIM-ər-ik; Irish: Luimneach [ˈl̪ˠɪmʲ(ə)nʲəx]) is a city in western Ireland, in County Limerick."
Limnobium,"Limnobium, common names spongeplant and American frogbit, is a group of aquatic plants in the Hydrocharitaceae described as a genus in 1814."
Limonium,Limonium is a genus of about 600 flowering plant species.
Limousin,Limousin (French pronunciation: [limuzɛ̃] ; Occitan: Lemosin [lemuˈzi]) is a former administrative region of southwest-central France.
Limpopo,Limpopo () is the northernmost province of South Africa.
Limulus,"Limulus is a genus of horseshoe crab, with one extant species, the Atlantic horseshoe crab (Limulus polyphemus)."
Linaceae,Linaceae is a family of flowering plants.
Linanthus,Linanthus is a genus of annual and perennial plants in the phlox family Polemoniaceae.
Linaria,"Linaria is a genus of almost 200 species of flowering plants, one of several related groups commonly called toadflax."
Lincolnshire,Lincolnshire (abbreviated Lincs.) is a ceremonial county in the East Midlands and Yorkshire and the Humber regions of England.
Lind,Lind is a surname of both Swedish and Estonian origin.
Lindera,"Lindera is a genus of about 80–100 species of flowering plants in the family Lauraceae, mostly native to eastern Asia but with three species in eastern North America."
Lindesnes,"Lindesnes (English: the Naze) is a municipality in Agder county, Norway."
Lindheimera,Lindheimera is a genus of flowering plants in the tribe Heliantheae within the family Asteraceae found in North America.
Linnaea,Linnaea is a plant genus in the honeysuckle family Caprifoliaceae.
Linum,Linum (flax) is a genus of approximately 200 species in the flowering plant family Linaceae.
Linux,"Linux ( LIN-uuks) is a family of open-source Unix-like operating systems based on the Linux kernel, an operating system kernel first released on September 17, 1991, by Linus Torvalds."
Linz,"Linz ( LINTS, German: [ˈlɪnts] ; Czech: Linec) is the capital of Upper Austria and third-largest city in Austria."
Lion,"The lion (Panthera leo) is a large cat of the genus Panthera, native to Africa and India."
Lipizzan,"The Lipizzan or Lipizzaner (Croatian: Lipicanac, Czech: Lipicán, German: Lipizzaner, Hungarian: Lipicai, Italian: Lipizzano, Serbian: Lipicaner, Slovene: Lipicanec) is a European breed of riding horse developed in the Habsburg Empire in the sixteenth century."
Lipmann,Lipmann is a surname.
Liposcelis,"Liposcelis is a genus of insects in the order Psocoptera, the booklice and barklice."
Lipotyphla,"Lipotyphla is a formerly used order of mammals, including the members of the order Eulipotyphla (i.e."
Lippi,Lippi is an Italian surname.
Lippmann,Lippmann is a German surname.
Liquidambar,"Liquidambar, commonly called sweetgum 
(star gum in the UK),gum, redgum, satin-walnut, or American storax, is the only genus in the flowering plant family Altingiaceae and has 15 species."
Lir,"Lir or Ler (meaning ""Sea"" in Old Irish; Ler and Lir are the nominative and genitive forms, respectively) is a sea god in Irish mythology."
Liriodendron,"Liriodendron () is a genus of two species of characteristically large trees, deciduous over most of their populations, in the magnolia family (Magnoliaceae)."
Lisbon,"Lisbon (; Portuguese: Lisboa [liʒˈβoɐ] ) is the capital and largest city of Portugal, with an estimated population of 548,703 within its administrative limits in an area of 100.05 km2."
Litany,"Litany, in Christian worship and some forms of Jewish worship, is a form of prayer used in services and processions, and consisting of a number of petitions."
Lithocarpus,"Lithocarpus is a genus in the beech family, Fagaceae."
Lithophragma,Lithophragma is a genus of flowering plants in the saxifrage family containing about nine species native to western North America.
Lithospermum,Lithospermum is a genus of plants belonging to the family Boraginaceae.
Lithuania,"Lithuania (  LITH-yoo-AYN-ee-ə; Lithuanian: Lietuva [lʲɪɛtʊˈvɐ]), officially the Republic of Lithuania (Lithuanian: Lietuvos Respublika [lʲɪɛtʊˈvoːs rʲɛsˈpʊblʲɪkɐ]), is a country in the Baltic region of Europe."
Littorina,"Littorina is a genus of small sea snails, marine gastropod molluscs in the family Littorinidae, the winkles or periwinkles.These small snails live in the tidal zone of rocky shores."
Littorinidae,"The Littorinidae are a taxonomic family of over 200 species of sea snails, marine gastropod molluscs in the clade Littorinimorpha, commonly known as periwinkles and found worldwide."
Liturgy,Liturgy is the customary public ritual of worship performed by a religious group.
Liverpool,"Liverpool is a city and metropolitan borough in Merseyside, North West England."
Livistona,"Livistona is a genus of palms, the botanical family Arecaceae, native to southeastern and eastern Asia, Australasia, and the Horn of Africa."
Livonia,"Livonia or in earlier records Livland, is a historical region on the eastern shores of the Baltic Sea."
Livy,"Titus Livius (Latin: [ˈtɪtʊs ˈliːwiʊs]; 59 BC – AD 17), known in English as Livy ( LIV-ee), was a Roman historian."
Ljubljana,"Ljubljana (also known by other historical names) is the capital and largest city of Slovenia, located along a trade route between the northern Adriatic Sea and the Danube region, north of  the country's largest marsh, inhabited since prehistoric times."
Llullaillaco,Llullaillaco (Spanish pronunciation: [ʎuʎajˈʎako]) is a dormant stratovolcano at the border of Argentina (Salta Province) and Chile (Antofagasta Region).
Loasaceae,"Loasaceae is a family of 15–20 genera and about 200–260 species of flowering plants in the order Cornales, native to the Americas and Africa."
Lobata,"Lobata is an order of transparent marine invertebrates belonging to the phylum of Ctenophora in the class Tentaculata, and are commonly referred to as comb jellies or sea gooseberries."
Lobito,Lobito is a municipality in Angola.
Lobotes,Lobotes is a genus of ray-finned fishes belonging to the family Lobotidae known as the tripletails.
Lobotidae,"Lobotidae is a family of ray-finned fishes that includes the tripletails, which are circumtropical marine fishes, and tiger perches, which are Asian freshwater fishes."
Locusta,"Locusta or Lucusta (died 69), was a notorious maker of poisons in the 1st-century Roman Empire, active in the final two reigns of the Julio-Claudian dynasty."
Lodine,"Lodine (Sardinian: Lodìne) is a town and comune in the province of Nuoro, Sardinia, Italy."
Loewi,"Loewi is a surname, and may refer to:"
Lofoten,"Lofoten ( LOH-foh-tən, loh-FOH-tən, Norwegian: [ˈlùːfuːtn̩]) is an archipelago and a traditional district in the county of Nordland, Norway."
Logania,Logania is a genus of plants belonging to the family Loganiaceae.
Loganiaceae,The Loganiaceae are a family of flowering plants classified in order Gentianales.
